All,Сите
"Some error","Некоја грешка"
"Field 2","Поле 2"
"Field 3","Поле 3"
"Field 3.1","Поле 3.1"
"Field 3.1.1","Поле 3.1.1"
"Field 4","Поле 4"
"Advanced Section","Напредна секција"
"Email to a Friend","Испрати на пријател"
Configurations,Конфигурации
"Choose an Option...","Ве молиме изберете..."
"You can't add the item to shopping cart.","Неможете да го додадете продуктот во кошничката."
Confirm,Потврди
Weight,Тежина
Options,Опции
"Deselect All","Деселктирај ги сите"
"Remove Attribute","Отстрани атрибут"
"Save Option","Зачивај опција"
"Remove Option","Отстрани опција"
"Edit Configurations","Измени поставки"
"Buy %1 for %2 each and","Купи %1 за %2 секоја и"
save,зачувај
"Disable Product","Оневозможи продукт"
"Enable Product","Овозможи продукт"
"New Product Review","Преглед на нов продукт"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Ви благодариме што не контактирате преку вашите коментари и прашања. Ќе ви одговориме во најкраток рок."
"What’s on your mind?","Што имате на ум?"
"Contact Form","Контакт формулар"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Дознај повеќе</a>."
Daily,Дневно
Weekly,Неделно
Monthly,Месечно
Yes/No,Да/Не
"You are subscribed to our newsletter.","Вие сте пријавени да добивате електронски новости од нас."
"You aren't subscribed to our newsletter.","Вие не сте пријавени да добивате електронски новости од нас."
"You have not set a default shipping address.","Немате дефинирано главна адреса за испорака."
"You have not set a default billing address.","Немате дефинирано главна адреса за плаќање."
"Address Book",Адресар
"Edit Address","Измени адреса"
"Add New Address","Додади нова адреса"
region,регион
"Save Customer","Зачувај купувач"
"Reset Password","Ресетирај лозинка"
"New Customer","Нов купувач"
"Shopping Cart from %1","Кошничка од %1"
Newsletter,"Електронски новости"
"Newsletter Information","Информации за електронски новости"
"Subscribed to Newsletter","Пријавени за електронски новости"
"No Newsletter Found","Нема пронајдено електронски новости"
Subject,Предмет
Sent,Испратено
"Not Sent","Не е испратено"
Sending,"Се праќа"
Paused,Паузирано
Unknown,Непознато
"The customer does not have default billing address.","Купувачот нема предодредена адреса за плаќање."
"Days in Wish List","Денови во листата"
"Delete Image","Избриши слика"
"Add New Customer Group","Додади нова група на купувачи"
"Save Customer Group","Зачувај група на купувачи"
"Delete Customer Group","Избриши група на купувачи"
"New Customer Group","Нова група на купувачи"
"The customer is now assigned to Customer Group %s.","Купувачот е доделен на групата на купувачи %s."
"Date of Birth","Датум на раѓање"
"Thank you for registering with %1.","Благодариме што креиравте профил на %1."
"Your password reset link has expired.","Линкот за ресетирање на лозинката помина."
"Please make sure your passwords match.","Ве молиме проверете дали двете лозинка се совпаѓаат."
"Password confirmation doesn't match entered password.","Лозинката за потврда не се совпаѓа со внесената лозинка."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако има профил поврзан со %1 ќе добиете Емаил со линк за ресетирање на вашата лозинка."
"New Password and Confirm New Password values didn't match.","Новата лозинка и потврдената нова лозинка не се совпаѓаат."
"Please enter a new password.","Ве молиме внесете нова лозинка."
"You updated your password.","Ја ажуриравте лозинката."
"Something went wrong while saving the new password.","Се случи грешка додека се зачувуваше новата лозинка."
"You deleted the address.","Ја избришавте адресата."
"You saved the address.","Ја зачувавте адресата."
"We can't save the address.","Неможеме да ја зачуваме адресата."
"Please select customer(s).","Ве молиме изберете купувач/и."
"The customer will receive an email with a link to reset password.","Купувачот ќе добие Емаил со линк за ресетирање на лозинката."
"Something went wrong while resetting customer password.","Се случи грешка додека се ресетираше лозинката на купувачот."
"You saved the customer.","Го зачувавте купувачот."
"Please define Wish List item ID.","Ве молиме дефинирајте го ID на продуктот од листата со желби."
"Please load Wish List item.","Молам да се вчита продуктот од листата со желби."
"Login successful.","Успешна најава."
"Please enter a password with at most %1 characters.","Ве молиме внесете лозинка со најмногу %1 карактери."
"""%1"" is not a valid email address.","""%1"" не е валидна емаил адреса."
"You can't delete group ""%1"".","Неможете да ја избришете групата ""%1""."
"You will be charged tax.","Ќе ви виде наплатен данок."
"You will not be charged tax.","Нема да ви биде наплатен данок."
Male,Машко
Female,Женско
"Not Specified","Не дефинирано"
Visitor,Посетител
"Personal Information","Лични информации"
"Confirmed email:","Потврден емаил:"
"Default Billing Address","Главна адреса за плаќање"
"Manage Addresses","Менаџирај адреси"
"Default Shipping Address","Главна адреса за испорака"
"Contact Information","Информации за контакт"
"Change Password","Промени ја лозинката"
Newsletters,"Електронски новости"
"You are subscribed to ""General Subscription"".","Пријавени сте да ги добивате најновите понуди и новости."
"Default Addresses","Предодредени адреси"
"Change Billing Address","Промени ја адресата за плаќање"
"You have no default billing address in your address book.","Немате главна адреса за плаќање во вашиот адресар."
"Change Shipping Address","Промени ја адресата за испорака"
"You have no default shipping address in your address book.","Немате главна адреса за испорака во вашиот адресар."
"Street Address %1","Улица %1"
"It's a default billing address.","Ова е главна адреса за плаќање."
"Use as my default billing address","Користи како моја главна адреса за плаќање"
"It's a default shipping address.","Ова е главна адреса за испорака."
"Use as my default shipping address","Користи како моја главна адреса за испорака"
"Go back","Врати се назад"
"Additional Address Entries","Дополнителни адреси"
"Send confirmation link","Испрати линк за потврда"
"Back to Sign In","Назад кон најава"
"Change Email","Променете ја емаил адресата"
"Change Email and Password","Премени ја емаил адресата и лозинката"
"Current Password","Тековна лозинка"
"Password Strength","Јачина на лозинката"
"No Password","Нема лозинка"
"Confirm New Password","Потврдете ја новата лозинка"
"Please enter your email address below to receive a password reset link.","Ве молиме внесете ја емаил адресата подолу за да добиете линк за ресетирање на лозинката."
"Reset My Password","Ресетирај ја мојата лозинка"
"Registered Customers","Регистрирани купувачи"
"If you have an account, sign in with your email address.","Ако имате регистрирано профил, најавете се со вашата Емаил адреса."
"Subscription option","Претплата за"
"General Subscription","Најнови понуди и новости"
"Sign Up for Newsletter","Пријави се за електронски новости"
"Address Information","Информации за адресата"
"Sign-in Information","Информации за најава"
"Confirm Password","Потврди ја лозинката"
"Set a New Password","Поставете нова лозинка"
"You have signed out and will go to our homepage in 5 seconds.","Се одјавивте. За 5 секунди ќе бидете префрлени на почетната страна."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Овој профил не е потврден. <a href=""%1"">Кликнете овде</a> да испратите емаил за потврда."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Веќе има креирано профил со оваа Емаил адреса. Ако сте сигурни дека е ова е вашата адреса <a href=""%1"">кликнете овде</a> да добиете лозинка и да пристапите до вашиот профил."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Креирањето на профил има повеќе бенефиции: побрзо завршување на нарачките, зачувување повеќе од една адреса и повеќе."
Fax,Факс
"Welcome to %store_name","Добредојдовте на %store_name"
"Welcome to %store_name.","Добредојдовте на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Да се најавите на нашата онлајн продавница, користете ги овие податоци. <a href=""%customer_url"">Мојот Профил</a>:"
Email:,Емаил:
Password:,Лозинка:
"Password you set when creating account","Лозинката што ја поставивте додека го креиравте профилот"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Ја заборавивте вашата лозинка? Кликнете <a href=""%reset_url"">овде</a> да ја ресетирате."
"Proceed through checkout faster","Да ги завршувате нарачките побрзо"
"Check the status of orders","Провери го статусот на твоите нарачки"
"View past orders","Видиш направени порачки"
"Store alternative addresses (for shipping to multiple family members and friends)","Зачуваш повеќе адреси (доколку сакаш да направиш испорака на некој член од семејството или пријател)"
"Please confirm your %store_name account","Ве молиме потврдете го вашиот профил - %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Мора да го потврдите вашиот %customer_email емаил пред да се најавите (линкот е валиден само еднаш):"
"Confirm Your Account","Потврди го твојот профил"
"Thank you for confirming your %store_name account.","Благодариме што го потврдивте вашиот %store_name профил."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Да се најавите на нашата продавница и поставите лозинка, клкнете <a href=""%create_password_url"">овде</a>:"
"Your %store_name email has been changed","Вашата емаил адреса беше променета - %store_name"
"We have received a request to change the following information associated with your account at %store_name: email.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Доколку не ја одобрувате оваа промена, ве молиме контактирајте не веднаш на <a href=""mailto:%store_email"">%store_email</a>"
"Your %store_name email and password has been changed","Вашата емаил адреса и лозинка беа променети - %store_name"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил, лозинка."
"Reset your %store_name password","Ресетирајте ја вашата лозинка - %store_name"
"There was recently a request to change the password for your account.","Неодамна беше побарано да ја смените лозинката за вашиот профил."
"If you requested this change, set a new password here:","Доколку вие го поднесовте барање за оваа промене, поставете нова лозинка овде:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Доколку не го поднесовте вие ова барање, игнорирајте ја оваа порака и вашата лозинка ќе остане иста."
"Your %store_name password has been changed","Вашата лозинка беше променета - %store_name"
"We have received a request to change the following information associated with your account at %store_name: password.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил, лозинка."
"Are you sure you want to delete this address?","Дали сте сигурни дека сакате да ја избришете оваа адреса?"
Weak,Слаба
Medium,Средна
Strong,Силна
"Very Strong","Многу силна"
"All Customers","Сите купувачи"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","За лозинката се потребни повеќе различни класи на каректери: мали букви, големи букви, броеви, специјални карактери."
"Show Tax/VAT Number","Покажи даночен број"
"Show Telephone","Покажи телефон"
"Subscribe to Newsletter","Пријави се за електронски новости"
"Unsubscribe from Newsletter","Одјави се од електронски новости"
"Customer Since","Купувач од"
"Confirmed email","Потврден емаил"
"Tax VAT Number","Даночен број"
"Billing Lastname","Презиме за плаќањето"
"Last Activity","Последна активност"
"Customer Information","Информации за купувачот"
Addresses,Адреси
"Edit Account Information","Измени ги информаџиите за профилот"
"Password forgotten","Заборавена лозинка"
"You are signed out","Одјавени сте"
"More information","Повеќе информации"
"Notify Customer by Email","Извести го купувачот по Емаил"
Used,Користено
available,достапно
"Minimal value","Минимална вредност"
"Maximum value","Максимална вредност"
"Customer Account Edit","Измени го профилот на купувачот"
"This is your default billing address.","Ова е вашата главна адреса за плаќање."
"This is your default shipping address.","Ова е вашата главна адреса за испорака."
"Customer Address","Адреса на купувачот"
"Reward Points","Наградни поени"
"A customer with the same email address already exists in an associated website.","Веќе постои корисник со истата емаил адреса."
"Please specify a website.","Ве молиме дефинирајте веб сајт."
"Apply To","Примени на"
"Visitors and Registered Customers","Посетители и регистрирани купувачи"
Visitors,Посетители
contains,содржи
"does not contains","не содржи"
"Product List","Листа на продукти"
"Customer Address %1","Адреси на купувачот %1"
"Default Address","Главна адреса"
Billing,Плаќање
"Customer %1","Купувач %1"
"Newsletter Subscription","Пријава за електронски новости"
subscribed,претплатени
"Order Status","Статус на нарачката"
"Order Status %1 %2:","Статус на нарачката %1 %2:"
"Product %1","Продукт %1"
viewed,видено
ordered,нарачено
"Wish List","Листа со желби"
found,пронајдено
"Number of Orders","Број на нарачки"
"Purchased Quantity","Купена количина"
"is one of","е еден од"
"is not one of","не е еден од"
"Shopping Cart Total","Вкупно во кошничка"
"Grand Total",Вкупно
"Gift Card","Подарок ваучер"
"Shopping Cart %1 Amount %2 %3:","Кошничка %1 сума %2 %3:"
"Phone inconsistencies. The customer’s phone number is suspicious","Неконзистенција на телефонот. Телефонскиот број на купувачот е сомнителен"
Kilograms,Килограми
Inches,Инчи
Centimeters,Центиметри
inch,инч
Height,Висина
Width,Ширина
"There is no items in this order","Нема продукти во оваа нарачка"
Continue,Продолжи
"View Order","Види нарачка"
"Email Preview","Прегледи емаил"
"Thank you, %store_name","Благодариме, %store_name"
"Phone Verification","Верификација на телефон"
status,статус
"Gift Card Information","Подарок ваучер Информации"
"Gift Card Type","Тип Подарок ваучер"
"Gift Card Sender","Испраќач на Подарок ваучер"
"Gift Card Recipient","Примач на Подарок ваучер"
"Gift Card Message","Подарок ваучер Порака"
"Gift Card Lifetime","Времетрање на Подарок ваучер"
"Gift Card Is Redeemable","Подарок ваучерот е откуплив"
"We cannot create this gift card.","Неможеме да го креираме овој подарок ваучер."
"Gift Card Accounts","Подарок ваучер Профили"
"Something went wrong while preparing the gift card.","Се случи грешка додека се подготвуваше подарок ваучерот."
"Please specify a gift card amount.","Ве молиме наведете вредност на подарок ваучерот."
"Gift Card max amount is %1","Максималната вредност на подарок ваучерот е %1"
"Gift Card min amount is %1","Минималната вредност на подарок ваучерот е %1"
"Please specify a recipient name.","Ве молиме внесете име на примач."
"Please specify a sender name.","Ве молиме внесете име на испраќач."
"Recipient Name","Име на примач"
"Gift Cards","Подарок ваучери"
"Gift Card Email Settings","Подарок ваучер Емаил Поставки"
"Gift Card General Settings","Подарок ваучер Генерални Поставки"
"Gift Card Accounts","Подарок ваучер Профил"
"Add Gift Card Account","Додади подарок ваучер Профил"
"Save & Send Email","Зачувај & Прати емаил"
"Edit Gift Card Account: %1","Измени подарок ваучер Профил: %1"
"New Gift Card Account","Нов подарок ваучер Профил"
"Gift Card Code","Подарок ваучер Код"
"Send Gift Card","Испрати подарок ваучер"
"-- First Please Select a Website --","-- Ве молиме прво изберете вебсајт --"
"Gift Card Account","Подарок ваучер Профил"
"This gift card account has been deleted.","Овој подарок ваучер профил е избришан."
"We couldn't find a gift card account to delete.","Неможевме да пронајдеме подарок ваучер профил за бришење."
"Edit Gift Card Account","Измени подарок ваучер Профил"
"Please select a gift card account(s)","Ве молиме селектирајте подарок ваучер профил/и"
"You saved the gift card account.","Го зачувавте подарок ваучер профилот."
"An email was not sent because the gift card account is not active.","Не е испратен емаил затоашто подарок ваучер профилот не е активен."
"Gift Card ""%1"" was removed.","Подарок ваучерот ""%1"" е отстранет."
"You can't remove this gift card.","Неможете да го отстраните овој подарок ваучер."
"Gift Card ""%1"" was redeemed.","Подарок ваучерот ""%1"" е откупен."
"Gift card account %1 is not enabled.","Подарок ваучер профилот %1 не е овозможен."
"Gift card account %1 is expired.","Подарок ваучер профилот %1 е истечен."
"Order #%1.","Нарачка #%1."
"You can't redeem a gift card now.","Неможете да го откупите овој подарок ваучер сега."
"Add Gift Card","Додади подарок ваучер"
"Gift Card (%1)","Подарок ваучер (%1)"
"Have a gift card? ","Имате подарок ваучер? "
"Gift Card: ","Подарок ваучер: "
"Please enter a valid gift card code.","Ве молиме внесете валиден подарок ваучер код."
"Add or remove gift cards","Додади или отстрани подарок ваучери"
"Gift Card amount applied to order:","Вредноста на подарок ваучерот е применета за нарачка:"
"Gift Card Code: %code","Подарок ваучер Код: %code"
"Apply Gift Card","Примени подарок ваучер"
"Gift Card:","Подарок ваучер:"
"Gift Card amount applied to order: ","Вредноста на подарок ваучерот е применета за нарачка: "
"Gift Card Email Sender","Подарок ваучер Емаил Испраќач"
"<span>Item %1</span> of %2","<span>Продукт %1</span> од %2"
"Update Quantity","Ажурирај количина"
"Remove Item","Отстрани продукт"
"Sharing Information",Информации
"Total Items","Вкупно продукти"
"Please enter at least 2 letters of the first name.","Ве молиме внесете барем 2 букви од вашето име."
"Please enter at least 2 letters of the last name.","Ве молиме внесете барем 2 букви од вашето презиме."
"Please enter a valid email address.","Ве молиме внесете валидна емаил адреса."
"Please enter the quantity of items to add to cart.","Ве молиме внесете количина за продуктите што сакате да ги додадете во кошничката."
"Please add invitees.","Ве молиме додадете поканети."
"This product(s) is out of stock.","Продуктот/тите не е/се повеќе на залиха."
"Please enter the first name.","Ве молиме внесете име."
"Please enter the last name.","Ве молиме внесете презиме."
"Please enter a valid email address(for example, daniel@x.com).","Ве молиме внесете валидна емаил адреса (пр. johndoe@x.com)."
"Select a shipping address from your address book or enter a new address.","Изберете адреса за испорака од вашиот адресар или внесете нова адреса."
"Added On","Додадено на"
Sender,Испраќач
Invitee,Покани
"Maximum %1 email addresses.","Максимум %1 емаил адреса."
"Add Invitee","Додади покана"
"Required Fields","Задолжителни полиња"
"Please enter at least two letters of the name.","Ве молиме внесете барем две букви од името."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Едноставно пребарувајте во <a href=""%store_url"">%store_name</a> и додадете ги продуктите шти ги сакате во вашата кошничка или листа со желби."
"Excluding Tax","Без данок"
"Including Tax","Со данок"
"Price Excl. Tax","Цена без ДДВ"
"Price Incl. Tax","Цена со ДДВ"
"Cannot process the item.","Неможе да се процесира продуктот."
"Default Qty","Прододредена кол."
"Show more","Покажи повеќе"
"Created: %1, Updated: %2, Deleted: %3","Креирано: %1, Ажурирано: %2, Избришено: %3"
Add/Update,Додади/Ажурирај
"Shipping Method","Начин на испорака"
"Save & Activate","Зачувај & Активирај"
"The integration '%1' has been deleted.","Интеграцијата '%1' е избришена."
"Your invitation is not valid. Please create an account.","Вашата покана не е валидна. Ве молиме креирајте профил."
"Invitation for same email address","Покана за иста емаил адреса"
"Invite your friends by entering their email addresses","Поканете ги вашите пријатели внесувајќи ги нивните емаил адреси"
item,продукт
items,продукти
"Now Shopping by","Користени филтри"
"No changes","Нема промени"
"The item was deleted","Продуктот е избришан"
Archive,Архива
"Forgot Password","Ја заборавивте вашата лозинка"
Reorder,"Нарачи повторно"
Print,Испринти
"Catalog Reviews","Мислење за продукти"
"Newsletter Subscribers","Претплатници на елетронски новости"
"XML Sitemap","XML мапа на сајтот"
"To see product price, add this item to your cart. You can always remove it later.","За да ја видете цената на продуктот ве молиме да го додадете во кошничката. Секогаш можете да го отстранете подоцна."
"In Cart","Во кошничка"
Wishlist,"Листа со желби"
"Customer's Wish List Report","Купувач Листа со желби Извештај"
"My Wish Lists","Моја листа со желби"
"1 item in wish list","1 продукт во листата со желби"
"%1 items in wish list","%1 продукти во листата со желби"
"Wish List Search","Пребарувај во листата со желби"
"Customer Wish List Report","Купувач Листа со желби Извештај"
"Wish list ""%1"" was saved.","Листата со желби ""%1"" е зачувана."
"We can't create the wish list right now.","Неможеме да креираме листа со желби сега."
"We can't find the item.","Неможеме да го пронајдеме продуктот."
"We can't copy the wish list item.","Неможеме да го копираме продуктот од листата со желби."
"We can't find %1 items.","Неможеме да пронајдеме %1 продукти."
"We can't copy %1 items.","Неможеме да копираме %1 продукти."
"%1 items are already present in %2: %3.","%1 продуктите се веќе постојат во %2: %3."
"%1 items were copied to %2: %3.","%1 продукти се копирани во %2: %3."
"Wish List ""%1"" has been deleted.","Листата со желби ""%1"" е избришена."
"We can't delete the wish list right now.","Неможеме да ја избришеме листата со желби сега."
"We can't find an item with this ID.","Неможеме да пронајдеме продукт со ова ID."
"We can't move the wish list item.","Неможеме да го преместиме продуктот од листата со желби."
"%1 items cannot be moved: %2.","%1 продукти неможе да бидат преместени: %2."
"We can't move %1 items.","Неможеме да преместеме %1 продукти."
"%1 items were moved to %2: %3.","%1 продукти се преместени во %2: %3."
"We can't add the item to shopping cart.","Неможеме да го додадеме продуктот во вашата кошничка."
"We can't add the following product(s) to shopping cart: %1.","Неможеме да ги додадеме следниот/те продукт/и во кошничката: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 продукт/и се додадени во кошничката: %2."
"%1's Wish List","Листата со желби на %1"
"%1's Wish List (%2)","Листата со желби на %1 (%2)"
"Sign in to edit wish lists.","Најавете се за да ја измените листата на желби."
"The wish list is not assigned to your account and can't be edited.","Листата со желби не е доделена на вашиот профил и неможе да биде изменета."
"Provide the wish list name.","Обезбедете име на листата со желби."
"Only %1 wish list(s) can be created.","Само %1 листа/и со желби можат да бидат креирани."
"Wish list ""%1"" already exists.","Листата со желби ""%1"" веќе постои."
"All Wish Lists","Сите листи"
"Add To Order","Додади во нарачка"
"No items","Нема продукти"
"Delete Wish List","Избриши листа"
"Wish List Items","Продукти во листата"
"You must select items to add to the cart.","Морате да одберете продукти за да ги додадете во кошничката."
"Create New Wish List","Креирај нова листа"
"Copy to Wish List","Копирај во листа"
"Wish List Name","Име на листата"
"Create Wish List","Креирај листа со желби"
"Edit Wish List","Измени листа со желби"
"Public Wish List","Јавна листа со желби"
"Private Wish List","Приватна листа со желби"
"Move Selected to Wish List","Премести ги селектираните во листа со желби"
"Copy Selected to Wish List","Копирај ги селектираните во листа со желби"
"We can't create the Wish List right now.","Неможеме да креираме листа со желби сега."
"Please select items to move.","Ве молиме изберете продукти да ги преместете."
"Please select items to copy.","Ве молиме изберете продукти да ги копирате."
"Are you sure you want to delete your wish list? This action can't be undone.","Дали сте сигурни дека сакате да ја избришете вашата листа со желби? Ова дејство неможе да биде вратено."
"Wish Lists","Листи со желби"
"Enable Multiple Wish Lists","Овозможи повеќе листи со желби"
"Number of Multiple Wish Lists","Број на повеќе листи со желби"
"The number of multiple wish lists should be equal to or more than 2.","Бројот на повеќе листи со желби треба да биде еднаков на или поголем од 2."
"My Wish Lists Link","Врска до мојата листа со желби"
"Wish List Quantity","Листа со желби Количина"
"Ship to Multiple Addresses","Испорака на различни адреси"
"Billing Information - %1","Информации за плаќање - %1"
"Review Order - %1","Преглед на нарачката - %1"
"Shipping Methods","Начини на испорака"
"Edit Billing Address","Измени ја адресата за плаќање"
"Edit Shipping Address","Измени ја адресата за испорака"
"Create Billing Address","Креирај адреса за плаќање"
"Create Shipping Address","Креирај адреса за испорака"
"Maximum qty allowed for Shipping to multiple addresses is %1","Максимална кол. дозволена за испорака на различни адреси е %1"
"Select Addresses","Избери адреси"
"Shipping Information","Информации за испорака"
"Billing Information","Информации за плаќање"
"Select Address","Избери адреса"
"Back to Billing Information","Назад кон информации за плаќање"
"Please select a shipping address for applicable items.","Ве молиме одберете адреса за испорака за применливите продукти."
"Send To","Испрати на"
"Go to Shipping Information",Продолжи
"Update Qty &amp; Addresses","Ажурирај Кол. &amp; Адреси"
"Enter a New Address","Внесете нова адреса"
"Back to Shopping Cart","Назад кон кошничка"
"Go to Review Your Order",Продолжи
"Back to Shipping Information","Назад кон информации за испорака"
"Other items in your order","Други продукти во вашата нарачка"
"Edit Items","Измени ги продуктите"
"Check Out with Multiple Addresses","Испорака на различни адреси"
"Shipping To","Испорака на"
"Order Review","Преглед на нарачката"
"Grand Total:",Вкупно:
"Submitting order information...","Поднесување информации за нарачката..."
"Ship to:","Испорачај на:"
"Address %1 <span>of %2</span>","Адреса %1 <span>од %2</span>"
"Continue to Billing Information",Продолжи
"Back to Select Addresses","Назад кон избор на адреси"
"Allow Shipping to Multiple Addresses","Дозволи испорака на различни адреси"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Максимална кол. дозволена за испорака на различни адреси"
"Review Order","Преглед на нарачката"
"Select Shipping Method","Избери начин на испорака"
"Last Updated","Последно Ажурирано"
"Subtotal (Incl. Tax)","Вкупно (со ДДВ)"
"Subtotal (Excl. Tax)","Вкупно (без ДДВ)"
"Shipping & Handling","Испорака & Достава"
Qty:,Кол:
"Qty: ","Кол: "
(Removed),(Отстрането)
deleted,избришено
"You closed the quote.","Ја затворивте понудата."
"Cannot delete comment with id %1","Неможе да се избрише коментарот со id %1"
" - deleted"," - избришено"
"Product with ID #%1 is deleted","Продукто со ID #%1 е избришан"
"Cannot delete history log with id %1","Неможе да се избрише дневнкот со историја со id %1"
"Cart Price: ","Цена на кошничка: "
"Cannot save comment:\n%1","Неможе да се зачува коментарот:\n%1"
"%1 - deleted","%1 - избришено"
Submitted,Поднесено
"Cannot set the shipping price. You must select a shipping method first.","Неможете да ја видите цената на испораката. Прво мора да изберете начин на испорака."
Comments,Коментари
"Add your comment","Додади коментар"
"Quote & Account Information","Понуда & Информации за профилот"
"Name & SKU","Име & SKU"
"Cart Price","Цена на кошничка"
"Delete Action","Избриши акција"
"You have no shipping address for this quote.","Немате адреса за испорака за оваа понуда."
"Click to change shipping method","Кликнете да го променете начинот на испорака"
(Updated),(Ажурирано)
(Added),(Додадено)
"Shipping address","Адреса за испорака"
"Shipping method","Начин на испорака"
removed,отстрането
" - removed"," - отстрането"
"Show My Orders","Покажи ги моите нарачки"
"Show All Orders","Покажи ги сите нарачки"
"Quote Comments","Коментари за понудата"
"Select Existing Address","Избери постоечка адреса"
"No shipping information available","Не се достапни информации за испорака"
"Select a shipping address from your address book.","Изберете адреса за испорака од вашиот адресар."
"No shipping information available.","Не се достапни информации за испорака."
"Dear %merchant_name,","Почитувани %merchant_name,"
" submitted by buyer"," поденесено од купувач"
"Dear %customer_name,","Почитувани %customer_name,"
"Cancel coupon","Откажи го купонот"
"Apply Gift Card","Примени Подарок ваучер"
"Enter the gift card code","Внеси го кодот на подарок ваучерот"
"The shopping cart isn't empty","Кошничката не е празна"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Имате продукти во кошничката. Сакате да ги додадете со продуктите од оваа нарачка или да ги замените?"
"Select Cancel to stay on the current page.","Селектирајте Откажи за да останате на сегашната страна."
"Submitted By","Поднесено од"
"Save and Resume","Зачувај и продолжи"
"Save As","Зачувај како"
"A confirmation request has been sent.","Ви исправиме Емаил со барање за потврда."
"We have removed your newsletter subscription.","Ја отстранивме вашата пријава за електронски новости."
"Your subscription has been confirmed.","Вашата пријава е потврдена."
"This email address is already subscribed.","Оваа емаил адреса е веќе пријавена."
Cancelled,Откажено
"Sign Up for Our Newsletter:","Пријави се за електронски новости:"
"Enter your email address","Внесете ја вашата емаил адреса"
Subscribe,"Пријави се"
"Newsletter subscription confirmation","Потврдете ја вашата пријава"
"Thank you for subscribing to our newsletter.","Благодариме што се пријавивте да ги добивате најновите понуди и новости."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Но пред тоа, потребно е прво да ја потврдите вашата пријава со клик на следниот линк:"
"Newsletter subscription success","Успешно се пријавивте"
"You have been successfully subscribed to our newsletter.","Успешно се пријавивте да ги добивате најновите понуди и новости."
"Newsletter unsubscription success","Успешно се одјавивте"
"You have been unsubscribed from the newsletter.","Успешно се одјавивте. Повеќе нема да ги добивате најновите понуди и новости."
"Subscription Options","Претплата за"
"Customer First Name","Име на купувач"
"Customer Last Name","Презиме на купувач"
"Newsletter Subscriptions","Пријави за електронски новости"
"Shipping Price","Цена на испорака"
"# of Items (and above)","# на продукти (и погоре)"
"Per Order","По нарачка"
"Per Item","По продукт"
"Free Shipping","Бесплатна испорака"
"Related Orders","Поврзани нарачки"
"To check out, please sign in with your email address.","За да продолжите, ве молиме најавете се со вашата емаил адреса."
"Ask Customer","Прашај го купувачот"
"We cannot cancel this order.","Неможеме да ја откажаме оваа нарачка."
"Mobile Payment (made via a mobile phone)","Мобилно плаќање (направено преку мобилен телефон)"
"Every 3 days","Секои 3 дена"
"Every 7 days","Секои 7 дена"
"Every 10 days","Секои 10 дена"
"Every 14 days","Секои 14 дена"
"Every 30 days","Секои 30 дена"
"Every 40 days","Секои 40 дена"
"Updated At","Ажурирано на"
" to learn more."," да дознаеш повеќе."
Status:,Статус:
Updated:,Ажурирано:
"Ship To","Испорачај на"
"Please select a shipping method...","Ве молиме изберете начин на испорака..."
"Edit Payment Information","Измени ги информациите за плаќање"
"Items in Your Shopping Cart","Продукти во твојата кошничка"
"Edit Shopping Cart","Измени ја кишничката"
"Please update order data to get shipping methods and rates","Ве молиме ажурирајте ги податоците за нарачката да добиете начин на испорака и"
"Other Payment Methods:","Други начини на плаќање:"
"Display on Product Details Page","Покажи на страната со детали на продуктот"
"Skip Order Review Step","Прескокни го чекорот за преглед на нарачка"
"Welcome, %1!","Добредојдовте, %1!"
"Edit Product Status","Измени статус на продукт"
"Price change alert! We wanted you to know that prices have changed for these products:","Известување, промена на цени! Сакаме да знаете дека цените на овие продукти се променети:"
"Products price changed alert","Известување за промена на цени"
"Products back in stock alert","Известување за продукти повторно на залиха"
"Notify me when this product is in stock","Извести ме кога овој продукт ќе биде на залиха"
